label,kind,status,occurrences,first_source_url
Per the Los Angeles County Sheriff's Department,inline-colon,mapped,463,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Administration Unit,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Cause,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Civilian Fatalities,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Civilian Injuries,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Containment,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Counties,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Date,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Firefighter Fatalities,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Firefighter Injuries,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Incident Status,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Location,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Name,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Size,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Start Date/Time,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Structures Damaged,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Structures Destroyed,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Structures Threatened,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Time,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Type,dt,mapped,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Unified Command Agency(s),dt,UNMAPPED,344,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Evacuation Information,heading-h3,explicitly-ignored,339,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Evacuation Orders,heading-h4,mapped,337,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Situation Summary,heading-h3,mapped,337,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Evacuation Shelters,heading-h4,mapped,333,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Westwood Recreation Center,inline-strong,UNMAPPED,333,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Road Closures,heading-h4,mapped,328,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Federal Assistance,heading-h3,mapped,320,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Animal Evacuation Shelters,heading-h4,explicitly-ignored,302,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Incident Photos and Videos,heading-h3,mapped,301,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Pasadena Convention Center,inline-strong,UNMAPPED,299,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/9670318e-d5f5-4c88-93a9-92fda172a80d
Engines,dt,mapped,297,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Total Personnel,dt,mapped,297,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Water Tenders,dt,mapped,297,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Large Animals,inline-strong,mapped,296,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Large Animals,inline-colon,mapped,296,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Small Animals,inline-strong,mapped,296,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Small Animals,inline-colon,mapped,296,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Press Conferences and Operational Briefings,heading-h3,mapped,295,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Hand Crews,dt,mapped,287,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Helicopters,dt,mapped,278,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/bb2cc5cd-3a3b-426f-a9ae-97805899f19d
Stoner Recreation Center,inline-strong,UNMAPPED,278,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/632ea637-4d58-4b71-9050-740acceab450
Dozers,dt,mapped,272,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/8607a763-c3f3-4157-9f25-4d4053ce9581
The Following Zones are under mandatory evacuation order,inline-strong,mapped,260,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/26ae17c3-7807-448e-89c7-7cd54429637b
The Following Zones are under mandatory evacuation order,inline-colon,mapped,260,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/26ae17c3-7807-448e-89c7-7cd54429637b
Evacuation Warnings,heading-h4,mapped,257,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/16d4ebf2-87ed-434e-b853-5e94f23459ec
Other,dt,mapped,248,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
