row,report_date,report_time,column,pdf
1,01/28/2025,9:29 AM,Additional_Resources,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Evacuation_Zone_Change_Notice,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Disaster_Resource_Center_Text,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,DRC_Westside,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,DRC_Eastside,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Public_Health_Information,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Disaster_Assessment,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Evacuation_Order_Zones,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Curfew_Order,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Evacuation_Shelters,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Road_Closure_Sources,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
1,01/28/2025,9:29 AM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 01_28_2025 at 9_29 AM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Additional_Resources,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Evacuation_Zone_Change_Notice,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Disaster_Resource_Center_Text,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,DRC_Westside,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,DRC_Eastside,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Public_Health_Information,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Disaster_Assessment,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Evacuation_Order_Zones,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Curfew_Order,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Evacuation_Shelters,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Road_Closure_Sources,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
2,01/30/2025,5:35 PM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 01_30_2025 at 5_35 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Additional_Resources,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Evacuation_Zone_Change_Notice,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Disaster_Resource_Center_Text,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,DRC_Westside,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,DRC_Eastside,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Public_Health_Information,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Disaster_Assessment,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Evacuation_Order_Zones,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Curfew_Order,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Road_Closure_Sources,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
3,02/03/2025,2:03 PM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 02_03_2025 at 2_03 PM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Additional_Resources,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Disaster_Resource_Center_Text,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,DRC_Westside,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,DRC_Eastside,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Public_Health_Information,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Disaster_Assessment,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Evacuation_Order_Zones,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Curfew_Order,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Road_Closure_Sources,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
4,02/04/2025,7:40 AM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 02_04_2025 at 7_40 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Additional_Resources,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Public_Health_Information,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Disaster_Assessment,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
